Reference	Family	Scientific name	Vernacular name	Native/Exotic	Habit	Flowering (month)	Syndrome	Other usages	photo (book)	photo (internet)	Pollinator quoted	Pollinator species quoted	References about pollinator 
P. B. Cavalcante	Caryocacee	Jacaratia spinosa (Aubl.) A. DC.	Jaracatiá	Native	Tree	10 to 11; 2 to 4	Phalenophily 		no	yes	moth	no species quoted	PIRATELLI, A.J.; RODRIGUES, F.C.M.; GANDARA, F.B.; SANTOS, E.M.G.; COSTA, L.G.S. 1998. Biologia da polinizacao de Jacaratia spinosa (Aubl) ADC. (Caricaceae) em mata residual do sudeste Brasileiro. Rev. Brasil. Biol. 58:671-679.
P. B. Cavalcante	Sapotaceae	Labatia macrocarpa Mart.	Cabeça-de-Macaco	Native	Tree		Undefined		no	no			
P. B. Cavalcante	Apocynaceae	Lacmellea arborescens (Muell. Arg.) Monach.	Tucujá	Exotic	Bush	9 to 12	Phalenophily 		no	no			
P. B. Cavalcante	Quiinaceae	Lacunaria jenmani (Oliv.) Ducke.	Moela-de-Mutum	Native	Bush	1 to 2	Mellitophily		no	yes			
P. B. Cavalcante	Lecitidaceae	Lecythis pisonis Cambess. Subesp usitata (Miers) Mori & Prance	Sapucaia	Native	Tree	5 to 8	Mellitophily		no	yes			
S. Silva	Arecaceae	Leopoldina major Wallace	Jará-Açu	Native	Tree	12 to 1	Undefined		no	no			
P. B. Cavalcante	Crisobalanaceae	Licania tomentosa (Benth.) Frit.	Oiti	Native	Tree	7 to 8	Mellitophily		no	yes			
S. Silva	Moraceae	Maclura tinctoria (L.) D.Don ex Steud	Taiuva	Native	Tree	9 to 10	Undefined		no	yes			
P. B. Cavalcante	Malpiguiaceae	Malpighia punicifolia L., M. retusa Benth.	Acerola	Exotic	Bush		Mellitophily		no	yes	bee	Centris americana, Centris flavifrons, Centris longimana, Centris rhodoprocta, Centris terminata, Melipona paraensis, Tetragona clavipes	MAGALHÃES, L.M.F.; OLIVEIRA, D. 1998. Abelhas visitantes da flor da aceroleira (Malpighia punicifolia L.) em Terra-Alta/PA, Amazônia. Anais do Encontro sobre Abelhas de Ribeirão Preto. / VILHENA, A. M. G. F.; AUGUSTO, F. C. 2008. Polinizadores da aceroleira Malpighia emarginata DC (Malpighiaceae) em área de cerrado no triângulo mineiro.Biocience journal 23:14-23.
P. B. Cavalcante	Clusiaceae	Mammea americana L.	Abricó	Exotic	Tree	6 to 12	Mellitophily		no	yes	bee	no species quoted	NASCIMENTO, W. M. O.; CARVALHO, J. E. U.; MÜLLER C. H. 2008. Propagação do abricoteiro. – Belém, PA: Embrapa Amazônia OrientaL.
P. B. Cavalcante	Anacardiaceae	Mangifera indica L.	Manga 	Exotic	Tree	5 to 7	Myophily		no	yes	fly, bee	Palpada vinetorum, Belvosia bicincta, Musca domestica (Diptera), Apis mellifera (Apidae)	KIILL, L.H.P.; SIQUEIRA, K.M.M. 2012. Polinização da Mangueira (Mangifera indica). In. Ribeiro, M.F. III Semana dos Polinizadores: Palestras e Resumos. Embrapa, Petrolina, p. 124-138.
P. B. Cavalcante	Sapotaceae	Manilkara huberi (Ducke) Chevalier	Maçaranduba 	Native	Tree	5 to 9	Myophily		no	yes	fly	Ornidia obesa, Eristalis sp (Syrphidae)	MAUES, M. M. 2004. Polinização de uma espécie emergente na Floresta Nacional do Tapajós-PA: Manilkara huberi (Ducke) Standley Sapotaceae. 25o Congresso de Ecologia.
P. B. Cavalcante	Sapotaceae	Manilkara zapota (L.) P. Royen 	Sapotilha	Exotic	Tree	10 to 12	Mellitophily		yes	yes			
P. B. Cavalcante	Arecaceae	Mauritia flexuosa L.f.	Miriti	Native	Tree	2 to 8	Cantarophily	Huts	no	no	beetle	no species quoted	STORTI, E.F. 1993. Biologia floral de Mauritia flexuosa Lin. Fil, na região. Acta amazónica 23:371-381.
P. B. Cavalcante	Arecaceae	Mauritiella armata (Mart.) Burr.	Caraná (buriti)	Native	Tree		Cantarophily		no	yes			
P. B. Cavalcante	Arecaceae	Maximiliana maripa (Aubl.) Drude	Inajá	Native	Tree	10 to 11	Cantarophily		no	yes	beetle	Cyclocephala distincta, Pachymerus sp, Epitragini sp, Belopeus carmelitus	MACAMBIRA, M. L. J.; JARDIM, M. A. G.. Identificação dos insetos visitantes de inflorescências da palmeira Inajá (MAXIMILIANA MARIPA L.). Boletim do Museu Paraense Emílio Goeldi: série zoologia, v. 13, n. 1, p. 85-94, 1997.
P. B. Cavalcante	Sapindaceae	Melicoccus bijugatus Jacq.	Pitomba-das-Guianas	Native	Tree	2 to 3	Mellitophily		yes	yes			
P. B. Cavalcante	Sapotaceae	Micropholis acutangula (Ducke) Eyma	Abiu-carambola	Native	Tree	8 to 10	Mellitophily		no	no			
P. B. Cavalcante	Melastomataceae	Mouriri apiranga Spruce ex Triana	Apiranga 	Native	Bush		Mellitophily		no	no			
P. B. Cavalcante	Melastomataceae	Mouriri eugeniifolia Spruce ex Triana	Dauicu	Native	Tree		Mellitophily		no	no			
P. B. Cavalcante	Malastomataceae	Mouriri ficoides Morley	Muriri	Native	Tree	10 to 12	Mellitophily		no	no			
P. B. Cavalcante	Melastomataceae	Mouriri grandiflora DC.	Camutim	Native	Tree	8 to 12	Mellitophily		no	no			
P. B. Cavalcante	Melastomataceae	Mouriri guianensis Aubl. 	Gurguri	Native	Bush	9 to 2	Phalenophily 		yes	yes			
P. B. Cavalcante	Melastomataceae	Mouriri pusa Gardner	Puçá	Native	Tree	3 to 8	Mellitophily		yes	yes			
P. B. Cavalcante	Melastomataceae	Mouriri trunciflora Ducke	Mirauba 	Native	Tree		Mellitophily		no	no			
P. B. Cavalcante	Polygalaceae	Moutabea chodatiana Huber	Gogó-de-Guariba	Native	Liana		Undefined		no	no			
P. B. Cavalcante	Musaceae	Musa X paradisiaca L.	Banana	Exotic	Tree	1 to 12	Chiropterophily		no	yes	bat	Glossophaga soricina, Anoura caudifer, Phyllostomus discolor	PEDROZO, A. R. 2011. Partilha de néctar de Musa paradisiaca (Musaceae) por três espécies de morcegos filostomideos na região Sudeste do Brasil. Universidade Estadual Paulista.
P. B. Cavalcante	Myrtaceae	Myrcia fallax (Rich.) DC.	Frutinheira 	Native	Bush	8 to 9	Mellitophily		no	no			
P. B. Cavalcante	Myrtaceae	Myrciaria dubia (KUNTH) McVaugh	Caçari, camu-camuzeiro	Native	Bush		Mellitophily		yes	yes	bee	Apis mellifera, Exomalopsis auropilosa, Melipona compressipes fasciculata, Melipona fasciculata, M. seminigra, M. flavolineata, Nannotrigona punctata, Partamona sp., Partamona cupira, Trigona branneri, Trigona pallens, Trigona recursa	MAUÉS, M.M.; COUTURIER, G. 2002. Biologia floral e fenologia reprodutiva de camu-camu (Myrciaria dubia (H.B.K.) McVaugh, Myrtaceae) no Estado do Pará, Brasil. Revista Brasileira de Botânica 25:441-448 / VENTURIERI, G.C.; CONTRERA, F.A.L. 2012. Biodiversidade de Abelhas na Amazônia: os Meliponíneos e seu Uso na Polinização de Culturas Agrícolas. In. Ribeiro, M.F. III Semana dos Polinizadores: Palestras e Resumos. Embrapa, Petrolina, p. 22-35. 
P. B. Cavalcante	Sapotaceae	Neoxythece elegans (A. DC) Aubr	Caramuri	Native	Tree	6 to 10	Undefined		no	no			
P. B. Cavalcante	Arecaceae	Oenocarpus bacaba Mart.	Bacaba	Native	Tree	1 to 3	Cantarophily		no	no	beetle	Cyclocephala marginalis, Cyclocephala sarpedon, others	KÜCHMEISTER, H.; WEBBER, A.C.; SILBERBAUER-GOTTSBERGER, I.; GOTTSBERGER, G. 1998. A Polonização e sua relação com a termogênese em espécies de Arecaceae e Annonaceae da Amazônia Central. Acta Amazonica 28:217-245.
P. B. Cavalcante	Arecaceae	Oenocarpus bataua Mart.	Patauá	Native	Tree	1 to 4	Cantarophily		no	yes			
P. B. Cavalcante	Arecaceae	Oenocarpus mapora Karsten	Bacabinha 	Exotic	Tree		Cantarophily		no	no			
P. B. Cavalcante	Arecaceae	Oenocarpus minor Mart.	Bacabi 	Native	Tree	11 to 4	Cantarophily		no	no	beetle	no species quoted	KÜCHMEISTER, H.; WEBBER, A.C.; SILBERBAUER-GOTTSBERGER, I.; GOTTSBERGER, G. 1998. A Polonização e sua relação com a termogênese em espécies de Arecaceae e Annonaceae da Amazônia Central. Acta Amazonica 28:217-245.
P. B. Cavalcante	Arecaceae	Oenorcapus distichus Mart.	Bacaba-de-Leque	Native	Tree	1 to 3	Cantarophily		no	no	beetle	Cyclophora distincta	COUTURIER, G. OLIVEIRA, M. S. P. BESERRA P. 1999. Insetos visitantes e polinizadores em palmeiras nativas da Amazonia. Embrapa Amazonia Oriental, 1:1-3. 
S. Silva	Arecaceae	Orbignya phalerata Mart.	Babaçu	Native	Tree		Undefined	Crafts, huts	yes	no			
P. B. Cavalcante	Bombacaceae	Pachira aquatica Aubl.	Mamorana 	Native	Tree	1 to 12	Chiropterophily		no	yes	bat	Phyllostomidae 	FERREIRA, P. A.; FREIRE, L.S.; RAMALHO, M.; BATISTA, M.A. 2005. Biologia Da Polinização De Pachira Aquatica Em Fragmentos Urbanos De Mata Atlântica. Resumos do 56º Congresso Nacional de Botânica.
P. B. Cavalcante	Apocynaceae	Parahancornia amapa (Hub.) Ducke	Amapá	Native	Tree	8 to 4	Phalenophily 		no	no			
P. B. Cavalcante	Crisobalanaceae	Parinari montana Aubl.	Pajurá-da-Mata	Native	Tree		Mellitophily		no	no			
P. B. Cavalcante	Crisobalanaceae	Parinari sprucei Hook.f. 	Uará	Native	Tree		Mellitophily		no	no			
P. B. Cavalcante	Passifloraceae	Passiflora edulis Sims f. flavicarpas Deg. 	Maracujá	Native	Liana	1 to 12	Mellitophily		yes	yes			
P. B. Cavalcante	Passifloraceae	Passiflora nitida Kunth	Maracujá-Suspiro	Exotic	Liana	10 to 2	Mellitophily		yes	yes			
P. B. Cavalcante	Passifloraceae	Passiflora quadrangularis L.	Maracujá-Açu	Exotic	Liana	4 to 7	Mellitophily		no	yes			
P. B. Cavalcante	Sapindaceae	Paullinia cupana H.B.K. var. sorbilis (Mart.) Ducke	Guaraná	Native	Bush	7 to 9	Mellitophily		yes	yes	bee	Megalopta aeneicollis, Megalopta amoena, Megalopta sodalis, Ptiloglossa lucernarum	ESCOBAR, J.R; CORREA, M.P.F; AGUILERA, F.P. 1984. Estruturas florais, floração e técnicas para a polinização controlada do guaranazeiro. Pesquisa agropecuária Brasileira 19: 615-622. / KRUG, C.; GARCIA, M.V.B.; GOMES, F.B. 2015. A scientific note on new insights in the pollination of
guarana (Paullinia cupana var. sorbilis). Apidologie 46: 164-166.
P. B. Cavalcante	Hippocrateaceae	Peritassa laevigata (Hoffm. Ex Link.) A. C. Smith 	Gulosa 	Native	Liana	11	Mellitophily		no	no			
P. B. Cavalcante	Lauraceae	Persea americana Mill. Var. americana Mill	Abacate 	Exotic	Tree	 	Mellitophily		no	yes	bee	Apis mellifera	MALERBO-SOUZA, D. T., TOLEDO V. A. A., SILVA S. R., SOUZA F. F. Polinização em flores de abacateiro (Persea americana Mill.). Acta Scientiarum. Biological Sciences, vol. 22, núm. 4, p. 937-941. 2000
P. B. Cavalcante	Solanaceae	Physalis angulata L.	Camapu 	Exotic	Herb	10 to 1	Myophily		yes	yes			
P. B. Cavalcante	Clusiaceae	Platonia insignis Mart.	Bacuri	Native	Tree	6 to 7	Ornithophily		no	yes			
P. B. Cavalcante	Icacinaceae	Poraqueiba paraensis Ducke	Umari ou Mari	Native	Tree	7 to 10	Mellitophily		no	no			
P. B. Cavalcante	Anacardiaceae	Poupartia amazonica Ducke	Jacaiacá	Native	Tree	12 to 1	Undefined		no	no			
P. B. Cavalcante	Moraceae	Pourouma cecropiifolia Mart.	Mapati 	Native	Tree	4 to 6	Mellitophily		no	yes	bee	no species quoted	FALCAO, M.A.; LLERAS, E. 1980. Aspectos fenológicos, ecológicos e de produtividade do Mapati (Pourouma cecropiifolia Mart.). Acta Amazonica 10: 711-724.
P. B. Cavalcante	Sapotaceae	Pouteria caimito (Ruiz & Pavon) Radlk.	Abiu 	Native	Tree	1 to 11	Mellitophily		yes	yes			
P. B. Cavalcante	Sapotaceae	Pouteria macrocarpa (Huber) Baenhi	Cutite-Grande	Native	Tree	11 to 2	Mellitophily		no	no			
P. B. Cavalcante	Sapotaceae	Pouteria macrophylla (Lam.) Eyma	Cutite	Native	Tree	8 to 9	Mellitophily		no	yes			
P. B. Cavalcante	Sapotaceae	Pouteria pariry (Ducke) Baehni	Pariri 	Native	Tree	9 to 11	Undefined		no	no			
S. Silva	Sapotaceae	Pouteria ramiflora (Mart.) Radlk	Abiu-do-cerrado	Native	Tree	8 to 9	Undefined		no	no			
P. B. Cavalcante	Sapotaceae	Pouteria speciosa (Ducke) Baehni	Pajurá-de-Óbidos	Native	Tree	9 to 10	Undefined		no	no			
P. B. Cavalcante	Sapotaceae	Pouteria spp.	Abiurana 	Native	Tree	7 to 10	Mellitophily		no	no			
S. Silva	Sapotaceae	Pouteria torta (Mart.) Ralk	Abiu-Piloso	Native	Tree	8 to 10	Mellitophily		no	yes			
P. B. Cavalcante	Sapotaceae	Pouteria ucuqui Pires &  Schultes	Ucuqui	Native	Tree		Mellitophily		no	no			
P. B. Cavalcante	Myrtaceae	Psidium acutangulum DC.	Araçá-Pera	Native	Tree	10 to 12	Mellitophily		yes	yes	bee	Eulaema bombiformis, Apis melifera	FALCÃO, M.A., FERREIRA, S.A.N., CLEMENT, C.R., SANTOS T. C. T. & SOUZA R. M. 1992. Crescimento e fenologia do araçá-pera (Psidium acutangulum  DC) . Acta Amazonica 22:285-293.
P. B. Cavalcante	Myrtaceae	Psidium guajava L.	Goiaba	Exotic	Tree	10 to 11	Mellitophily		no	yes	bee	Centris aenea, Xylocopa spp, Apis mellifera	SIQUEIRA, K.M.M. 2012. Polinização da Goiabeira (Psidium guajava L). In. Ribeiro, M.F. III Semana dos Polinizadores: Palestras e Resumos. Embrapa, Petrolina, p. 140-156.
P. B. Cavalcante	Myrtaceae	Psidium guineense Swartz	Araçá	Exotic	Bush	2 to 3; 8 to 9	Mellitophily		yes	yes	bee	no species quoted	LUGHADHA, E. N.; PROENÇA, C. 1996. A survey of the reproductive biology of the Myrtoideae (Myrtaceae). Annals of the Missouri Botanical Garden 83:480-503.
P. B. Cavalcante	Bombacaceae	Quararibea cordata (Bonpl.) Visch.	Sapota-do-Solimões 	Native	Tree	8 to 11	Mellitophily		yes	yes			
P. B. Cavalcante	Quiinaceae	Quiina florida Tul.	Pama	Native	Tree		Undefined		no	no			
P. B. Cavalcante	Clusiaceae	Rheedia acuminata (Rui & Pav.) Planch. & Triana	Bacurizinho 	Native	Tree	1 to 12	Mellitophily		no	no			
P. B. Cavalcante	Clusiaceae	Rheedia brasiliensis (Mart. Planch. & Triana	Bacuripari-Liso	Native	Tree	4 to 8	Mellitophily		no	no			
P. B. Cavalcante	Clusiaceae	Rheedia gardneriana Miers ex. Planch. & Triana 	Bacuri mirim	Native	Tree	6 to 11	Mellitophily		no	no			
P. B. Cavalcante	Clusiaceae	Rheedia macrophylla (Mart.) Planch. & Triana	Bacuripari	Native	Tree	6 to 11	Mellitophily		yes	yes			
P. B. Cavalcante	Annonaceae	Rollinia mucosa (Jacq.) Baill.	Biribá	Native	Tree	7 to 9	Cantarophily		no	yes	beetle	Chrysomelidae	FALCÃO, M. A. et al. 1981. Aspectos fenológicos, ecológicos e de produtividade do biribá (Rollinia mucosa (Jacq.) Baill). Acta Amazonica 11:297-306.
P. B. Cavalcante	Humiriaceae	Sacoglottis guianensis Benth.	Achuá	Native	Tree	7 to 9	Mellitophily	Dye	no	no			
P. B. Cavalcante	Hippocrateaceae	Salacia impressifolia (Miers) A.C. Smith	Uaimiratipi	Native	Liana	3 to 5	Undefined		no	yes			
S. Silva	Arecaceae	Scheelea phalerata (Mart.) Burret	Acuri	Native	Tree	7 to 10	Undefined		no	no			
S. Silva	Solanaceae	Solanum sessiliflorum Dunal.	Cubiu	Native	Bush		Undefined	Medicinal	no	no	bee	Eulaema nigrita, Trigona fulviventris	PAIVA, W.O.  1999. Natural Outcrossing in Cocona.  Pesq. Agropec. Bras. 34: 145-149,
P. B. Cavalcante	Anacardiaceae	Spondias dulcis Park. 	Cajarana	Exotic	Tree		Mellitophily		no	yes	beetle	no species quoted	LUCCHINI, F.; SANTOS, M.M.; MORIN, J.P.; BARCELOS, E.; OVERAL, W.L. 1984. Polinização entomófila do caiaué (Elaeis oleifera (H.B.K.) Cortés), no Estado do Amazonas. In: Simpósio do Trópico Úmido, EMBRAPA-CPATU, p. 252.
P. B. Cavalcante	Anacardiaceae	Spondias mombin L.	Taperebá	Exotic	Tree	7 to 1	Mellitophily		no	yes	bee and fly	Apis mellifera, Melipona fasciculata, Melipona flavolineata, Melipona seminigra, Scaptotrigona postica, Trigona fulviventris, Trigona fuscipennis, Trigona pallens (Apidae: Meliponinae), Syrphidae	VENTURIERI, G.R.; VENTURIERI, G.C. 2010. Sistema reprodutivo e visitantes florais do taperebazeiro (Spondias mombin L. - Anacardiaceae) em Belém, PA. Encontro sobre abelhas de Ribeirão Preto / VENTURIERI, G.C.; CONTRERA, F.A.L. 2012. Biodiversidade de Abelhas na Amazônia: os Meliponíneos e seu Uso na Polinização de Culturas Agrícolas. In. Ribeiro, M.F. III Semana dos Polinizadores: Palestras e Resumos. Embrapa, Petrolina, p. 22-35. 
P. B. Cavalcante	Myrtaceae	Syzygium cumini (L.) Skeels	Ameixa	Exotic	Tree	10 to 12	Mellitophily		yes	yes	bee	no species quoted	REDE DE CATÁLOGOS POLÍNICOS ONLINE. disponível em: < http://chaves.rcpol.org.br/ >. acesso em: 16/0/2018
P. B. Cavalcante	Myrtaceae	Syzygium malaccense (L.) Merr. & L. M. Perry	Jambo	Exotic	Tree	3, 7 to 8	Mellitophily		no	yes	bee	Melipona brachychaeta, M. seminigra, Partamona pearsoni, P. mourei, P. testacea, Trigona amazonensis, T. branneri, T. williana, T. dallatorreana	FALCAO, M.A.; PARALUPPI, N.D.; CLEMENT, C.R. 2002. Fenologia e produtividade do Jambo (Syzygium malaccensis) na Amazônia Central. Acta Amazonica 32:3-8.
P. B. Cavalcante	Myrtaceae	Syzygium samarangense (Blume) Merr. & L.M. Perry	Jambo-Rosa	Exotic	Tree	7 to 8	Mellitophily		no	yes			
P. B. Cavalcante	Sapindaceae	Talisia esculenta (A. St. Hil.) Radlk	Pitomba 	Native	Tree	8 to 11	Mellitophily		no	yes			
P. B. Cavalcante	Leguminosae	Tamarindus indica L.	Tamarindo	Exotic	Tree		Mellitophily		no	yes			
P. B. Cavalcante	Malvaceae	Theobroma bicolor Humb. & Bonpl.	Cacacu-do-Peru	Exotic	Tree		Mellitophily		no	no			
P. B. Cavalcante	Malvaceae	Theobroma cacao L.	Cacau 	Exotic	Tree		Mellitophily		no	yes	bee	no species quoted	GUIMARÃES, I. C.; CHALCO, F. P. 2017. Levantamento bibliográfico de agentes polinizadores e dispersores de espécies frutiferas no centro de estudo superiores de Parintins - AM. Universidade do Estado do Amazonas.
P. B. Cavalcante	Malvaceae	Theobroma canumanense Pires &Fróes ex Cuatrecasas	Cupuaçu-do-Mato	Native	Tree	11 to 4	Mellitophily		no	no			
P. B. Cavalcante	Sterculiaceae	Theobroma grandiflorum (Willd. Ex Spreng.) Schum	Cupuaçu	Native	Tree	5 to 9	Cantarophily		yes	yes	beetle and bee	Baris sp (Curculionidae), Chrysomelidae (Coleoptera), Aparatrigona impunctata, Leurotrigona pusilla, Plebeia minima, Tetragonisca angustula, Trigona fulviventris, Trigona pallens (Apidae: Meliponinae) 	VENTURIERI, G. C.; MAUES, M. M. 1996. Effect of intercroping and environmental factors on anthesis in cupuacu (Theobroma grandiflorum - Sterculiaceae). In: Seminário internacional sobre pimenta-do-reino e Cupuaçu, p. 377-383. / VENTURIERI, G.C., MAUÉS, M.M., MIYANAGA, R. 1996. Polinização do cupuaçuzeiro (Theobroma grandiflorum, Sterculiaceae): um caso de cantarofilia em uma fruteira amazônica. Seminário internacional sobre pimenta-do-reino e Cupuaçu, p.341-350. / MAUÉS, M.M.; SOUZA, L.A.; MIYANAGA, R. 2000. Insetos polinizadores do cupuaçuzeiro (Theobrama grandiflorum Willd. Ex . Sprengel) no Estado do Pará, Brasil. Embrapa Amazonia Oriental / GRIBEL, R. 2008. Pollination ecology and pollinator management in Cupuassu (Theobroma grandiflorum Willd. Ex Spreng. Schum. Sterculiaceae), an amazonian fruit-tree of promising economic importance. In: Ministry of Environment. Pollinators management in Brazil. Ministry of Environment, p.14-17. / GRIBEL, R. et al. 2008. Polinização e manejo dos polinizadores do cupuaçu (Theobroma grandiflorum). INPA, 32 p. / NETO ,W.V.C.; MAUÉS, M.M. 2008. Manutenção de uma criação de Plebeia minima e Tetragonisca angustula (Apidae, Meliponini) para a polinização do cupuaçuzeiro (Theobroma grandiflorum). VI Seminário de Iniciação Científica da UFRA e XII Seminário de Iniciação Científica da Embrapa Amazônia Oriental.
P. B. Cavalcante	Malvaceae	Theobroma mariae (Mart.) Schum.	Cacau-Jacaré	Native	Bush		Mellitophily		no	no			
S. Silva	Malvaceae	Theobroma obovatum Klotsch ex Bernoulli	Cabeça-de-Urubu	Native	Tree		Mellitophily		no	no			
P. B. Cavalcante	Malvaceae	Theobroma speciosum Willd.	Cacauí	Native	Tree	9 to 10	Myophily		yes	yes	fly	no species quoted	RODRIGUES-SILVA, A. A. 2003. Polinização de cacauí ( Theobroma speciosum Willd. Ex Spreng. -Sterculiaceae): implicações para conservação. Universidade Federal do Pará. 
P. B. Cavalcante	Malvaceae	Theobroma subincanum Mart.	Cupuí 	Native	Tree	10 to 11	Mellitophily		no	no			
S. Silva	Annonaceae	Xylopia romatica (Lam.) Mart.	Pimenta-de-Macaco	Native	Tree		Cantarophily		yes	yes			
P. B. Cavalcante	Rhamnaceae	Zizyphus mauritiana Lam. 	Dão	Exotic	Bush		Mellitophily		no	yes			
